45610	36607	21535	47605	19	1107	12794	32	4280	4832	253485	6216	1418	21	496	2584	8884	0	0	31	19	0	13	33040	2607	14235	152	9	174	25	462	31267	7170	38692	65000	94726
3650	3656	10573	15823	31	647	398	24	418	6796	45000	429428	271	58	774	0	449663	0	0	4	15	318	2	1536	0	1228	135	52	102	141	2390	2569	2797	4906	25000	93033
1560	1618	26431	59389	55	1380	920	24	866	1455780	23349	1082	789	47	1269	44553	22039	0	0	17	12	107	86	3937	0	1240	625	240	111	83	63635	3022	9548	960	24000	19316
460	0	0	130	0	0	0	0	0	1079	0	7	0	0	0	0	0	0	0	0	0	0	10	0	0	3	0	0	0	0	0	0	0	0	0	0
30	2	45	40	11	32	2	0	1	996	0	13	1	2	4	0	53	0	0	0	0	0	6	15	0	12	0	385	1	0	6147	5	101	12	51	111
550	402	6630	3722	69	418	155	5	429	21610	0	8	83	34	1032	0	1820	0	0	0	0	15	34	4881	0	515	62	161395	26	9	3293	742	6837	12	24000	13841
10	6	3	2789	15	11	1	4	1	82	0	28	1	2	6	0	19	0	0	0	0	0	2	33	0	0	4	0	30	0	0	8	83	0	3275	31165
15970	1604	2398	22667	73285	208	1341	39	412	13142	18599	629	392	51	715	35620	69275	4515	0	19	79	42	14747	3418	1817	1132	293	1365	85	4988	249467	3152	8916	209	16055	189126
1390	3327	1809	4063	13	4694	697	517	97	19372	14048	14028	190	10	142	0	1473	0	0	707	815	7	21	928	0	0	2256	105	152	25	11661	2674	953	1178	1467	90946
70	0	0	683	5	0	6	0	2	10	0	87	0	1	12	0	0	0	0	0	0	0	13	4272	0	16	0	0	0	11	0	0	0	5	555	6485
630	1301	241	3405	5	1500	340	1163	132	4173	20372	497	256	14	158	13764	755	0	0	1925	1365	1	21	853	0	518	285	68	41	27	621	2935	753	52836	2562	22320
310	22	15	1772	2	0	10	0	9	48	0	22	8	7	48	0	133	0	0	0	0	1	12	59	0	23	0	3	2	1	58	30	133	11	6267	33163
1740	30	49	2319	5	32	55	1	19	162	0	22	20	1	190	0	58	0	0	0	0	0	0	135	0	32	9	1	13	1	56	88	238	33	6021	2848
43320	3010	2943	52698	8	252	1304	62	2143	5069	7601	16871	73	3	3475	0	111309	13243	11615	5	0	33	73	1419	1570	1052	107	1519	19	12	13457	7363	2426	489	247000	234640
450	21	17	17974	5	2	28	1	12	80	0	10	2	1	37	0	48	0	0	0	0	1	6	86	0	22	11	7	1	1	43	113	79	4	20069	54374
2080	1933	508	12131	8	9400	645	8187	351	3451	29000	1430	216	45	1239	23524	30691	0	0	47198	59831	46	102	368	0	1030	81363	977	232	187	4575	2833	1476	354	6052	62514
80	10	12	2443	3	6	5	1	1	12	0	4	3	0	10	0	22	0	0	0	0	0	2124	18	0	12	1	3	2	4	34	14	52	2	1189	48918
110	121	1455	3730	2	95	58	0	18	20724	2148	18	9	2	61	0	2619	0	0	0	0	8	0	288	0	29	4	33	9	1	401	90	623	5	555	694
580	15	32	2650	6	6	0	0	0	115	0	7	1	3	121	0	0	0	0	0	0	0	7	35	0	9	0	0	0	1	0	19	0	11	3772	9026
6040	33	282	2569	5	3	813	1	3	87	0	1	1	0	33	0	38	0	0	0	0	0	0	307	0	370	0	4	0	0	0	28	76	1	379	144
1000	483	1174	5353	39084	139	164	3	147	3194	5380	22	52	17	102	0	15248	0	0	0	0	4	1672	925	0	540	52	221	15	44	168994	4450	3844	13	3316	79461
38160	162021	601	41722	14	4685	17176	5	723	14442	172560	882	276	161	1139	0	12025	0	0	4	0	2569	83	6583	0	13487	3727	44	419	118619	2121	57705	56430	3507	6943	101638
1270	16	42	444	6	155	19	0	15	44	0	7	6	0	251	0	43	0	0	0	0	0	0	241	0	119	0	18	3	1	0	110	72	20	2880	708
